"Lasa-ma papa la bal!","Euhoria Music Hall",04/04/2024 22:30,201,"https://www.facebook.com/events/369095659371711?ref=newsfeed"
"Focus in the park 2024 party","Muzeul National Brukental Sibiu",06/04/2024 16:00,101,"https://www.facebook.com/events/739433798296202/?ref=newsfeed"
